year,province,university_name,major_group_code,major_group_name,major_name,batch,enrollment_count,subject_requirements,highest_score,lowest_score,average_score,lowest_rank,average_rank,notes
2024,上海,华东理工大学,Z0501,华东理工(01),食品科学与工程,综合评价录取,2,物化,573,561,561,5731,5731,
2024,上海,华东理工大学,Z0501,华东理工(01),食品质量与安全,综合评价录取,2,物化,573,560,560,5899,5899,
2024,上海,华东理工大学,Z0501,华东理工(01),化学,综合评价录取,2,物化,573,568,570,4499,4158,
2024,上海,华东理工大学,Z0501,华东理工(01),应用化学,综合评价录取,2,物化,573,560,566,5019,4841,
2024,上海,华东理工大学,Z0501,华东理工(01),精细化工(光电信息材料方向),综合评价录取,2,物化,573,560,561,5899,5731,
2024,上海,华东理工大学,Z0501,华东理工(01),材料化学(绿色与能源催化方向),综合评价,2,物化,573,563,564,5356,5180,
2024,上海,华东理工大学,Z0501,华东理工(01),药学,综合评价录取,6,物化,573,560,561,5899,5731,
2024,上海,华东理工大学,Z0501,华东理工(01),无机非金属材料工程,综合评价录取,2,物化,573,560,561,5899,5731,
2024,上海,华东理工大学,Z0501,华东理工(01),高分子材料与工程,综合评价录取,2,物化,573,564,565,5180,5019,
2024,上海,华东理工大学,Z0501,华东理工(01),复合材料与工程,综合评价录取,2,物化,573,562,563,5544,5356,
2024,上海,华东理工大学,Z0501,华东理工(01),新能源材料与器件,综合评价录取,2,物化,573,560,563,5899,5356,
2024,上海,华东理工大学,Z0501,华东理工(01),电子信息材料,综合评价录取,2,物化,573,568,569,4499,4499,
2024,上海,华东理工大学,Z0501,华东理工(01),能源与动力工程,综合评价录取,2,物化,573,561,565,5731,5019,
2024,上海,华东理工大学,Z0501,华东理工(01),环境工程,综合评价录取,2,物化,573,560,562,5899,5544,
2024,上海,华东理工大学,Z0501,华东理工(01),储能科学与工程,综合评价录取,2,物化,573,560,562,5899,5544,
2024,上海,华东理工大学,Z0501,华东理工(01),信息管理与信息系统,综合评价录取,2,物化,573,561,564,5731,5180,
2024,上海,华东理工大学,Z0501,华东理工(01),工程管理,综合评价录取,2,物化,573,561,563,5731,5356,
2024,上海,华东理工大学,Z0502,华东理工(02),计算机科学与技术(“计算机与金融学”双学士学位),综合评价录取,6,物化,572,567,570,4662,4158,
2024,上海,华东理工大学,Z0502,华东理工(02),机械设计制造及其自动化,综合评价录取,2,物化,572,563,564,5356,5180,
2024,上海,华东理工大学,Z0502,华东理工(02),过程装备与控制工程,综合评价录取,2,物化,572,564,568,5180,4499,
2024,上海,华东理工大学,Z0502,华东理工(02),智能制造工程,综合评价录取,2,物化,572,563,564,5356,5180,
2024,上海,华东理工大学,Z0502,华东理工(02),自动化,综合评价录取,4,物化,572,564,566,5180,4841,
2024,上海,华东理工大学,Z0502,华东理工(02),电气工程及其自动化,综合评价录取,5,物化,572,563,564,5356,5180,
2024,上海,华东理工大学,Z0502,华东理工(02),信息工程,综合评价录取,4,物化,572,563,565,5356,5019,
