年份,院校名称,专业组代码,专业组名称,专业列表,投档分数,投档排位
2024,上海中医药大学,12103,上海中医(03),"中医学(五年制), 针灸推拿学, 预防医学, 中药学",526,13085
2024,上海中医药大学,12104,上海中医(04),"药学(中外合作办学), 听力与言语康复学, 生物医学工程(中医信息与工程方向), 智能医学工程, 食品卫生与营养学",518,15023
2024,上海中医药大学,12105,上海中医(05),公共事业管理(卫生管理方向),517,15249
2024,上海中医药大学,12106,上海中医(06),护理学,504,18539
2024,上海应用技术大学,12201,上应大(01),"机械设计制造及其自动化(卓越工程师计划试点班), 机械类, 电气工程及其自动化(卓越工程师计划试点班), 电子信息工程, 集成电路设计与集成系统, 机器人工程, 软件工程(卓越工程师计划试点班), 计算机科学与技术, 人工智能, 数学与应用数学, 光电信息科学与工程",468,27525
2024,上海应用技术大学,12202,上应大(02),"材料科学与工程(卓越工程师计划试点班), 材料科学与工程, 复合材料与工程, 材料物理, 化学工程与工艺(卓越工程师计划试点班), 给排水科学与工程, 环境工程, 应用化学, 制药工程, 食品科学与工程, 生物工程",450,31904
2024,上海应用技术大学,12203,上应大(03),"香料香精技术与工程, 化妆品技术与工程",505,18290
2024,上海应用技术大学,12204,上应大(04),"能源与动力工程, 土木工程, 建筑环境与能源应用工程, 安全工程, 通信工程(轨道通导技术方向), 车辆工程, 电气工程及其自动化(轨道供电牵引方向), 交通运输(铁路运输管理方向), 铁道工程",453,31179
2024,上海应用技术大学,12205,上应大(05),"园艺, 生态学",442,33781
2024,上海应用技术大学,12206,上应大(06),"机械设计制造及其自动化(中外合作办学), 电气工程及其自动化(中外合作办学), 应用化学(中外合作办学)",453,31179
2024,上海应用技术大学,12207,上应大(07),"工程管理, 信息管理与信息系统, 大数据管理与应用",465,28294
2024,上海应用技术大学,12208,上应大(08),"建筑学, 风景园林",466,28028
2024,上海应用技术大学,12209,上应大(09),"工商管理, 市场营销(中外合作办学), 英语, 德语, 劳动与社会保障, 文化产业管理, 社会工作",458,29994
2024,上海应用技术大学,12210,上应大(10),园林,464,28519
